id_objeto,predicado,y_true
0,isRed,0
0,isGreen,1
0,isBlue,0
0,isCircle,0
0,isSquare,0
0,isCylinder,0
0,isCone,0
0,isTriangle,1
0,isSmall,1
0,isBig,0
1,isRed,0
1,isGreen,0
1,isBlue,1
1,isCircle,0
1,isSquare,0
1,isCylinder,0
1,isCone,1
1,isTriangle,0
1,isSmall,0
1,isBig,1
2,isRed,0
2,isGreen,0
2,isBlue,1
2,isCircle,0
2,isSquare,0
2,isCylinder,1
2,isCone,0
2,isTriangle,0
2,isSmall,0
2,isBig,1
3,isRed,0
3,isGreen,1
3,isBlue,0
3,isCircle,0
3,isSquare,0
3,isCylinder,1
3,isCone,0
3,isTriangle,0
3,isSmall,0
3,isBig,1
4,isRed,1
4,isGreen,0
4,isBlue,0
4,isCircle,0
4,isSquare,0
4,isCylinder,1
4,isCone,0
4,isTriangle,0
4,isSmall,0
4,isBig,1
5,isRed,1
5,isGreen,0
5,isBlue,0
5,isCircle,1
5,isSquare,0
5,isCylinder,0
5,isCone,0
5,isTriangle,0
5,isSmall,0
5,isBig,1
6,isRed,0
6,isGreen,1
6,isBlue,0
6,isCircle,0
6,isSquare,0
6,isCylinder,0
6,isCone,0
6,isTriangle,1
6,isSmall,0
6,isBig,1
7,isRed,0
7,isGreen,0
7,isBlue,1
7,isCircle,0
7,isSquare,0
7,isCylinder,1
7,isCone,0
7,isTriangle,0
7,isSmall,1
7,isBig,0
8,isRed,0
8,isGreen,0
8,isBlue,1
8,isCircle,0
8,isSquare,0
8,isCylinder,0
8,isCone,1
8,isTriangle,0
8,isSmall,1
8,isBig,0
9,isRed,0
9,isGreen,0
9,isBlue,1
9,isCircle,1
9,isSquare,0
9,isCylinder,0
9,isCone,0
9,isTriangle,0
9,isSmall,1
9,isBig,0
10,isRed,0
10,isGreen,0
10,isBlue,1
10,isCircle,0
10,isSquare,0
10,isCylinder,1
10,isCone,0
10,isTriangle,0
10,isSmall,1
10,isBig,0
11,isRed,1
11,isGreen,0
11,isBlue,0
11,isCircle,1
11,isSquare,0
11,isCylinder,0
11,isCone,0
11,isTriangle,0
11,isSmall,0
11,isBig,1
12,isRed,0
12,isGreen,0
12,isBlue,1
12,isCircle,0
12,isSquare,0
12,isCylinder,0
12,isCone,0
12,isTriangle,1
12,isSmall,1
12,isBig,0
13,isRed,0
13,isGreen,0
13,isBlue,1
13,isCircle,0
13,isSquare,1
13,isCylinder,0
13,isCone,0
13,isTriangle,0
13,isSmall,0
13,isBig,1
14,isRed,0
14,isGreen,0
14,isBlue,1
14,isCircle,1
14,isSquare,0
14,isCylinder,0
14,isCone,0
14,isTriangle,0
14,isSmall,0
14,isBig,1
15,isRed,0
15,isGreen,0
15,isBlue,1
15,isCircle,0
15,isSquare,1
15,isCylinder,0
15,isCone,0
15,isTriangle,0
15,isSmall,0
15,isBig,1
16,isRed,1
16,isGreen,0
16,isBlue,0
16,isCircle,1
16,isSquare,0
16,isCylinder,0
16,isCone,0
16,isTriangle,0
16,isSmall,1
16,isBig,0
17,isRed,1
17,isGreen,0
17,isBlue,0
17,isCircle,0
17,isSquare,0
17,isCylinder,0
17,isCone,0
17,isTriangle,1
17,isSmall,0
17,isBig,1
18,isRed,0
18,isGreen,1
18,isBlue,0
18,isCircle,0
18,isSquare,0
18,isCylinder,1
18,isCone,0
18,isTriangle,0
18,isSmall,1
18,isBig,0
19,isRed,0
19,isGreen,1
19,isBlue,0
19,isCircle,0
19,isSquare,1
19,isCylinder,0
19,isCone,0
19,isTriangle,0
19,isSmall,1
19,isBig,0
20,isRed,0
20,isGreen,0
20,isBlue,1
20,isCircle,0
20,isSquare,0
20,isCylinder,0
20,isCone,0
20,isTriangle,1
20,isSmall,1
20,isBig,0
21,isRed,1
21,isGreen,0
21,isBlue,0
21,isCircle,0
21,isSquare,0
21,isCylinder,0
21,isCone,0
21,isTriangle,1
21,isSmall,1
21,isBig,0
22,isRed,0
22,isGreen,1
22,isBlue,0
22,isCircle,0
22,isSquare,0
22,isCylinder,0
22,isCone,1
22,isTriangle,0
22,isSmall,0
22,isBig,1
23,isRed,0
23,isGreen,1
23,isBlue,0
23,isCircle,0
23,isSquare,1
23,isCylinder,0
23,isCone,0
23,isTriangle,0
23,isSmall,1
23,isBig,0
24,isRed,0
24,isGreen,0
24,isBlue,1
24,isCircle,0
24,isSquare,0
24,isCylinder,0
24,isCone,1
24,isTriangle,0
24,isSmall,0
24,isBig,1
